"SVAAS — MASTER EXECUTION ENGINE  |  All Tasks, All Phases, Day 1 to Day 730 #","Dept","Category","Task","Sub-Task / Exact Action","Notes & Dependencies","Priority","Phase","Days","Cost Low","Cost Likely","Cost High","Owner"
"1","LEGAL","Entity","Decide final LLP name","Shortlist 3 names through numerology / astrology / catchiness process. Check each: (a) MCA name availability at mca.gov.in (b) Trademark Class 3 at ipindia.gov.in (c) Domain .in availability. Pick name that clears all three.","Name on LLP must match label, trademark, and domain exactly. Do not form LLP before name is confirmed.","CRITICAL","P0","Day 1-7","-","-","-","Founder"
"2","LEGAL","Entity","Purchase domain name","Buy primary domain (.in preferred) + backup (.com if available). Register both. Point .com to .in.","Buy immediately once name is decided — domains get squatted. Cost: ₹800–₹1,200/year per domain.","CRITICAL","P0","Day 1-7","Rs.800","Rs.1000","Rs.2400","Founder"
"3","LEGAL","Entity","Engage CA for LLP formation","Brief CA on structure: LLP with Founder as primary partner. Agree fees. Provide: PAN, Aadhaar, passport photo, address proof for all partners.","CA will handle MCA filing, LLP agreement draft, and DIN/DPIN. Timeline: 10–14 days after documents submitted.","CRITICAL","P0","Day 1-3","-","-","-","Founder"
"4","LEGAL","Entity","Get DPIN for all designated partners","CA files DIR-3 KYC or integrated DPIN application on MCA portal. Each partner needs: PAN, Aadhaar, photo, address proof.","Required before LLP can be incorporated.","CRITICAL","P0","Day 3-7","Rs.500","Rs.500","Rs.1000","CA"
"5","LEGAL","Entity","Draft LLP Agreement","CA drafts agreement covering: capital contribution, profit sharing, decision rights, IP ownership (all formulas and brand vest in LLP), withdrawal rights, dissolution.","IP clause is critical. Formula and brand must belong to LLP from Day 1, not individual founders.","CRITICAL","P0","Day 5-12","Rs.3000","Rs.5000","Rs.8000","CA"
"6","LEGAL","Entity","File LLP incorporation (Form FiLLiP)","CA submits FiLLiP on MCA portal. Pay government fee. Receive Certificate of Incorporation (COI) + LLP Identification Number (LLPIN).","COI is needed for bank account, GST, and licence applications. Government fee included in CA charge.","CRITICAL","P0","Day 7-18","-","-","-","CA"
"7","LEGAL","Tax","Apply for LLP PAN","CA applies for PAN for the LLP entity (not founder PAN) immediately after COI.","LLP PAN is separate from founder's personal PAN. Needed for bank account and GST.","CRITICAL","P0","Day 18-22","-","-","-","CA"
"8","LEGAL","Tax","GST Registration","Register on GST portal after LLP PAN is received. Cosmetics HSN: 3305 (hair care) / 3307 (bath salts). Rate: 18%. Use CA for filing.","Do not sell commercially without GSTIN. E-invoicing may be required if B2B sales cross threshold.","CRITICAL","P0","Day 22-28","-","Rs.2000","Rs.3000","CA"
"9","LEGAL","Tax","MSME / Udyam Registration","Register at udyamregistration.gov.in. Free. Links to PAN. Get MSME certificate. Opens access to government schemes and priority lending.","Takes 1 day online. Do it in Week 3 alongside GST.","HIGH","P0","Day 20-25","-","-","-","Founder"
"10","FINANCE","Banking","Open current account","After COI + PAN: open current account at HDFC / ICICI / Kotak. Request startup zero-balance current account. Bring: COI, LLP agreement, PAN, address proof, partner KYC.","All D2C payments (Razorpay / Cashfree) require current account. Never mix with personal account.","CRITICAL","P0","Day 22-30","-","-","-","Founder"
"11","LEGAL","IP","Search trademark — brand name","Search IP India (ipindia.gov.in) under Class 3 (cosmetics). Also check Class 5 (Ayurvedic medicines). Search phonetic variants too.","Free search. Do before LLP name is finalised. If conflicting mark found, change the name.","CRITICAL","P0","Day 1-5","-","-","-","Founder"
